Vendor,Item,Qty,Price,Date,Category
Amazon,Whole Wheat Noodles,1,195.00,2026-07-12,Other Kitchen
Amazon,Tomato (500g),1,31.00,2026-07-12,Vegetables
Amazon,Carrot (500g),1,10.00,2026-07-12,Vegetables
Amazon,Green Capsicum (500g),1,59.00,2026-07-12,Vegetables
Amazon,Soy Milk 1L,2,254.00,2026-07-12,Dairy
Amazon,Tata Salt 1kg,1,29.00,2026-07-01,Other Kitchen
Amazon,Sooji (500g),1,34.00,2026-07-01,Grains / Rice / Atta
Amazon,Ajwain (100g),1,55.00,2026-07-01,Masale / Spices
Amazon,Green Cardamom,1,107.00,2026-07-01,Masale / Spices
Amazon,Avocado,1,69.00,2026-07-01,Fruits
Amazon,Soy Milk 1L,2,254.00,2026-07-01,Dairy
Amazon,Mustard Oil 1L,1,352.00,2026-06-25,Other Kitchen
Amazon,Soy Milk 1L,2,257.75,2026-06-18,Dairy
Amazon,Jowar Macaroni,1,171.50,2026-06-06,Grains / Rice / Atta
Amazon,White Sesame Seeds,1,40.00,2026-06-02,Other Kitchen
Amazon,Cashews (200g),1,259.00,2026-06-02,Dry Fruits
Amazon,Tofu (200g),1,64.00,2026-06-02,Protein / Health
Amazon,Idli Dosa Batter,1,41.00,2026-06-02,Dairy
Amazon,Bhujia,1,51.00,2026-05-23,Snacks / Makhana
Amazon,Soy Milk 1L,1,126.00,2026-05-23,Dairy
Amazon,Avocado,1,89.00,2026-05-23,Fruits
Amazon,MTR Dosa Mix,1,117.00,2026-05-23,Grains / Rice / Atta
Amazon,Thick Curd,1,50.00,2026-05-23,Dairy
