Vendor,Item,Quantity,Price,Date,Category
Amazon,Soy Milk 200ml,1,34,2026-01-19,Dairy
Amazon,Tofu 200g,2,148,2026-01-19,Protein / Health
Amazon,Avocado,2,252,2026-01-19,Fruits
Amazon,Banana Chips,1,80,2026-01-19,Snacks / Makhana
Amazon,Pomegranate (4 pcs),1,243,2026-01-19,Fruits
Amazon,Kiwi Gold 500g,1,201,2026-01-21,Fruits
Amazon,Amul Dahi 200g,1,23,2026-01-21,Dairy
Amazon,Soy Milk 1L,1,128,2026-01-21,Dairy
Amazon,Rajma 500g,1,86,2026-01-21,Grains / Rice / Atta
Amazon,Kiwi Green (3 pcs),1,84,2026-01-21,Fruits
Amazon,Ragi Atta 1kg,1,139,2026-01-27,Grains / Rice / Atta
Amazon,Almond Milk 1L,1,239,2026-01-27,Dairy
Amazon,Cucumber 500g,1,30,2026-01-27,Vegetables
Amazon,Soy Milk 1L,1,127,2026-01-29,Dairy
Amazon,Pomegranate (4 pcs),1,244,2026-01-29,Fruits
Amazon,Amul Dahi 200g,1,23,2026-01-29,Dairy
Amazon,English Cucumber 500g,1,35,2026-01-29,Vegetables
Amazon,Bottle Gourd,1,42,2026-01-31,Vegetables
Amazon,Garlic 250g,1,72,2026-01-31,Vegetables
Amazon,Jowar Atta 1kg,1,139,2026-01-31,Grains / Rice / Atta
Amazon,Aashirvaad Atta 1kg,1,80,2026-01-31,Grains / Rice / Atta
Amazon,Pomegranate (4 pcs),1,242,2026-01-31,Fruits
Amazon,Carrot 500g,1,15,2026-01-31,Vegetables
Amazon,Kiwi Green (3 pcs),1,89,2026-01-31,Fruits
Amazon,Radish 500g,1,21,2026-01-31,Vegetables
Amazon,Tomato 1kg,1,59,2026-01-31,Vegetables
Amazon,Avocado,1,98,2026-02-02,Fruits
Amazon,Frozen Sweet Corn 1kg,1,117,2026-02-02,Vegetables
Amazon,Pomegranate (4 pcs),1,232,2026-02-02,Fruits
Amazon,Almond Milk 1L,1,241,2026-02-02,Dairy
Amazon,Masala Papad 200g,1,70,2026-02-02,Pickles / Papad / Chutney
Amazon,Soy Milk 1L,1,126,2026-02-18,Dairy
Amazon,Pomegranate (4 pcs),1,238,2026-02-18,Fruits
Amazon,Tofu 200g,1,74,2026-02-18,Protein / Health
Amazon,Paneer 200g,1,81,2026-02-18,Dairy
Amazon,21 Grain Bread,1,125,2026-02-18,Grains / Rice / Atta
